objectid,weatherstationcode,weatherstationname,scadartuid,structureid,nwszone,district,thomasbrospagegrid,constructionstatus,creationuser,datecreated,datemodified,lastuser,structureguid,symbolrotation,latitude,longitude,elevation,twinguid,hftd,zone1idc,hftdidc,gdb_geomattr_data,globalid,shape,shape_srid,snapshot_date
1,CBD,Carlsbad,5158,P124785,Coastal-243,6,1126-G1,A,seu_gis_elec,00:00.0,00:00.0,bsingh,{64494E39-29E5-4911-ACB1-32A8CB6BCF2D},0,33.137352,-117.327141,72,,1,N,N,,{ED5DE7F2-F63A-41EA-BA80-9F71495334A3},POINT (1540299.9388 12029375.0425),4431,10/4/2024
2,CCR,Cuca Ranch,1915,Z118027,Mountain-258,3,1052-A5,A,seu_gis_elec,00:00.0,00:00.0,bsingh,{04BAE46A-10DE-41EE-8AFD-B46BE90E5E6F},0,33.301305,-116.912993,2513,,3,N,Y,,{82759049-437B-4A5C-8796-10C8D7098C5B},POINT (1667010.27856 12088881.1767),4431,10/4/2024
3,CES,Country Estates,1995,Z416611,Inland Valley-250,3,1153-G7,A,seu_gis_elec,00:00.0,00:00.0,bsingh,{CCAEA390-43E0-4319-8654-93AF7847BC1A},0,33.02876,-116.79285,1822,,3,N,Y,,{6A3A6DAD-6CD1-43B7-A0FE-72A52A46A4F7},POINT (1703876.2967 11989778.75946),4431,10/4/2024
208,ROV,Rim of the Valley,4818,Z416170,Inland Valley-250,3,1071-B1,A,gwharris,50:57.0,12:04.0,jmorris1,{FCECC729-B033-4EA9-A99E-E4FE4257C355},0,33.28582,-116.980023,1533,,3,N,Y,,{AD1AEA81-BC74-4954-8D25-421C79F40D88},POINT (1646528.56915 12083236.45575),4431,10/4/2024
5,CHO,Chollas Lake,5182,P970712,Inland Valley-250,1,1270-C7,A,seu_gis_elec,00:00.0,00:00.0,bsingh,{BDDF3627-16A5-4C45-9074-321A1517A6A5},0,32.736035,-117.06659,448,,1,N,N,,{1294A90A-9558-458E-8EA5-9D15B2A16D8D},POINT (1619955.10724 11883209.4286),4431,10/4/2024
6,CIR,Circle R,1992,P516181,Inland Valley-250,3,1069-A1,A,seu_gis_elec,00:00.0,00:00.0,bsingh,{3715A069-13B6-4C4D-9C85-ECEED7E3813B},0,33.285505,-117.1458035,662,,2,N,Y,,{42B1CA0F-98BC-4C44-9370-B8BDDF1774B3},POINT (1595875.3903 12083130.5609),4431,10/4/2024
7,COC,Los Coches,1939,Z478752,Inland Valley-250,4,1232-E4,A,seu_gis_elec,00:00.0,00:00.0,bsingh,{341F5059-CCFB-48D6-BF6E-F7CD4A2D53CD},0,32.85145,-116.89528,761,,1,N,N,,{9A4B1125-567B-44AC-9A6F-196CD9C141A3},POINT (1672595.455 11925219.7337),4431,10/4/2024
8,AMO,Ammo Dump,1922,P28656,Inland Valley-250,6,1027-C6,A,seu_gis_elec,00:00.0,00:00.0,bsingh,{1D125D4D-CEB9-406E-B858-BAB32122E879},0,33.357121,-117.276505,542,,2,N,Y,,{90874863-3E3A-4D88-A597-C531DBEE6E90},POINT (1556019.1347 12109260.1389),4431,10/4/2024
9,ARH,Archie Moore,1954,P36075,Inland Valley-250,3,1151-E6,A,seu_gis_elec,00:00.0,00:00.0,bsingh,{397EC1E9-A6FD-4E39-9277-C5826F6F7EB8},0,33.040094,-116.959291,1509,,3,N,Y,,{49DC14E1-2AE9-4575-93A8-C31AABF2AF48},POINT (1652898.10565 11993905.15735),4431,10/4/2024
10,BVY,Blossom Valley,1950,P276502,Inland Valley-250,4,1233-B2,A,seu_gis_elec,00:00.0,36:21.0,eaguila1,{913699D0-723C-4492-80BA-BF239F5086B4},0,32.86778,-116.843044,1172,,3,N,Y,,{6555BDDD-C099-498E-8A7A-AE0A4AF2F6EF},POINT (1688587.8794 11931217.9425),4431,10/4/2024
