"station","vri","alert","max_gust","99th","95th","snapshot_date"
"AMO","H","35","40","32","24","2023-08-02"
"ANE","M","35","43","32","25","2023-08-02"
"ARH","L","40","46","40","31","2023-08-02"
"AVO","H","35","43","29","24","2023-08-02"
"AVY","L","45","62","53","40","2023-08-02"
"BFD","M","35","45","39","31","2023-08-02"
"BLC","M","35","42","35","28","2023-08-02"
"BLU","L","45","47","45","40","2023-08-02"
"BMR","L","45","56","53","39","2023-08-02"
"BMS","M","45","88","59","46","2023-08-02"
"BNA","M","35","42","35","29","2023-08-02"
"BOB","M","45","52","42","30","2023-08-02"
"BOC","L","45","77","58","47","2023-08-02"
"BRG","H","35","43","29","24","2023-08-02"
"BRJ","M","45","59","44","38","2023-08-02"
"BRM","L","40","53","40","31","2023-08-02"
"BUB",,"45","60","48","40","2023-08-02"
"BVD","L","42","57","42","34","2023-08-02"
"BVY","H","35","36","27","21","2023-08-02"
"CAB","L","35","38","30","25","2023-08-02"
"CAP","M","35","39","29","23","2023-08-02"
"CBD","M","35","39","33","25","2023-08-02"
"CCR","M","45","73","50","37","2023-08-02"
"CDV","M","45","53","43","32","2023-08-02"
"CES","M","41","64","41","33","2023-08-02"
"CGD","M","35","40","30","23","2023-08-02"
"CHH","L","41","50","41","33","2023-08-02"
"CHO","L","35","30","25","19","2023-08-02"
"CIR","H","35","33","25","21","2023-08-02"
"CLM","H","35","50","37","32","2023-08-02"
"CLN","H","36","55","45","39","2023-08-02"
"CMC","M","35","54","35","29","2023-08-02"
"COC","L","35","43","34","24","2023-08-02"
"COH","M","35","37","29","26","2023-08-02"
"COY","M","35","50","34","27","2023-08-02"
"CPO","L","44","61","44","35","2023-08-02"
"CRI","L","38","48","38","27","2023-08-02"
"CRV","M","35","41","31","25","2023-08-02"
"CST","M","35","41","31","25","2023-08-02"
"CTM","M","41","61","41","32","2023-08-02"
"CVX","L","35","34","28","22","2023-08-02"
"CVY","M","42","47","42","31","2023-08-02"
"CWD","L","45","76","59","49","2023-08-02"
"DAM","L","45","65","54","46","2023-08-02"
"DCO","M","45","58","50","40","2023-08-02"
"DDH","L","35","43","39","32","2023-08-02"
"DDS","L","37","41","35","26","2023-08-02"
"DEH","M","39","48","39","31","2023-08-02"
"DES","M","45","58","48","38","2023-08-02"
"DHV","M","35","48","37","28","2023-08-02"
"DJZ",,"35","37","30","24","2023-08-02"
"DLC","L","35","36","27","23","2023-08-02"
"DLH","M","35","32","27","21","2023-08-02"
"DLR","M","35","33","27","24","2023-08-02"
"DLZ","M","35","42","35","28","2023-08-02"
"DMH","M","35","39","34","27","2023-08-02"
"DYE","L","45","74","56","43","2023-08-02"
"DZR","M","44","52","44","34","2023-08-02"
"ECJ",,"35","31","24","18","2023-08-02"
"ELF","H","35","47","41","33","2023-08-02"
"ELM","M","35","34","28","22","2023-08-02"
"ESC","M","39","58","39","31","2023-08-02"
"EUC","H","35","52","43","36","2023-08-02"
"EWN","M","38","54","45","38","2023-08-02"
"EWR","L","45","76","62","47","2023-08-02"
"FBK","H","35","46","34","28","2023-08-02"
"FTV","L","43","58","42","33","2023-08-02"
"GAV","M","37","59","43","35","2023-08-02"
"GOS","M","44","54","44","34","2023-08-02"
"GTY","L","35","47","36","28","2023-08-02"
"GUR","M","40","49","40","33","2023-08-02"
"GVY","L","41","49","41","32","2023-08-02"
"HAG","L","35","28","28","23","2023-08-02"
"HAR","M","35","35","28","23","2023-08-02"
"HAU",,"45","87","73","56","2023-08-02"
"HDM","L","45","54","47","38","2023-08-02"
"HHC","L","45","91","69","52","2023-08-02"
"HID","M","35","47","38","30","2023-08-02"
"HMD","H","35","44","33","25","2023-08-02"
"HOS","M","45","63","53","41","2023-08-02"
"HRP","M","45","61","49","38","2023-08-02"
"HVL","L","45","51","47","39","2023-08-02"
"HVW","H","35","43","36","30","2023-08-02"
"HVY","M","38","43","38","30","2023-08-02"
"IKP","L","35","47","35","29","2023-08-02"
"IMP",,"35","41","29","23","2023-08-02"
"IMT","M","35","43","40","32","2023-08-02"
"JAM","H","35","33","29","22","2023-08-02"
"JUL","H","35","44","38","31","2023-08-02"
"JVR","M","45","59","45","34","2023-08-02"
"KCK","H","35","30","24","17","2023-08-02"
"LAG","L","45","56","45","37","2023-08-02"
"LCK","L","37","46","37","29","2023-08-02"
"LCM","M","41","53","41","35","2023-08-02"
"LDC","H","35","34","32","26","2023-08-02"
"LFR","L","45","73","59","44","2023-08-02"
"LHC","M","35","55","44","33","2023-08-02"
"LJH","L","35","39","30","22","2023-08-02"
"LKW","M","40","52","40","31","2023-08-02"
"LLC","M","35","38","31","24","2023-08-02"
"LLD","M","45","57","46","35","2023-08-02"
"LOG","L","42","48","42","31","2023-08-02"
"LPT","L","45","69","55","46","2023-08-02"
"LSV","M","35","34","29","23","2023-08-02"
"MAD","L","42","48","47","41","2023-08-02"
"MAT","M","43","50","44","31","2023-08-02"
"MCN","L","48","53","48","33","2023-08-02"
"MGD","M","45","69","49","37","2023-08-02"
"MGR","M","35","49","35","27","2023-08-02"
"MGY","M","45","52","45","38","2023-08-02"
"MIG","L","35","41","34","27","2023-08-02"
"MLG","M","35","30","24","19","2023-08-02"
"MOR","M","35","53","42","34","2023-08-02"
"MPE","L","35","38","29","23","2023-08-02"
"MSD","L","35","39","27","18","2023-08-02"
"MTL","M","39","52","40","29","2023-08-02"
"MVN","L","35","39","27","19","2023-08-02"
"MWG","M","35","32","31","25","2023-08-02"
"NAT",,"35","35","26","19","2023-08-02"
"NDC","M","45","70","56","43","2023-08-02"
"NHG","M","35","62","37","27","2023-08-02"
"NMR","M","41","47","41","29","2023-08-02"
"NOE",,"35","16","16","13","2023-08-02"
"NPT","L","45","59","50","40","2023-08-02"
"NRA","H","35","47","36","29","2023-08-02"
"NRW",,"35","46","26","21","2023-08-02"
"OGV","L","37","45","37","30","2023-08-02"
"OLD","M","35","41","34","25","2023-08-02"
"OLV","M","45","54","47","37","2023-08-02"
"OMB","L","45","54","45","37","2023-08-02"
"ORT","L","40","50","40","33","2023-08-02"
"OTM","L","45","64","54","43","2023-08-02"
"OTY","M","35","38","29","23","2023-08-02"
"PAM","H","35","42","31","24","2023-08-02"
"PAU","M","35","39","33","25","2023-08-02"
"PCK","M","35","52","46","33","2023-08-02"
"PCT","L","45","54","51","41","2023-08-02"
"PIH","H","35","53","38","30","2023-08-02"
"PIV","H","35","67","49","37","2023-08-02"
"PMA","L","35","44","34","24","2023-08-02"
"PMT","M","40","46","40","31","2023-08-02"
"POM","M","45","59","49","40","2023-08-02"
"POT","L","45","62","50","40","2023-08-02"
"POV","L","45","63","44","35","2023-08-02"
"POW","L","35","34","30","23","2023-08-02"
"PTM","L","38","47","38","26","2023-08-02"
"PTZ","M","38","42","38","32","2023-08-02"
"PVC","L","35","37","33","24","2023-08-02"
"PVD","M","38","49","38","31","2023-08-02"
"RAM","H","35","48","39","32","2023-08-02"
"RBH","M","35","44","36","26","2023-08-02"
"RBV","M","35","36","29","24","2023-08-02"
"RCC","M","38","44","39","32","2023-08-02"
"RCE","M","45","60","47","40","2023-08-02"
"RCH","L","35","44","32","25","2023-08-02"
"RCR","M","35","57","42","34","2023-08-02"
"RHS","L","45","71","55","39","2023-08-02"
"RIN","M","37","54","38","31","2023-08-02"
"RIO","L","35","35","25","21","2023-08-02"
"RNB","M","35","43","35","29","2023-08-02"
"ROC","L","45","66","51","40","2023-08-02"
"ROV","L","45","64","47","33","2023-08-02"
"RPO","L","45","65","54","42","2023-08-02"
"RPQ","L","35","36","28","23","2023-08-02"
"RSF","H","35","37","34","26","2023-08-02"
"SCR","M","35","37","32","24","2023-08-02"
"SDR","H","35","51","45","33","2023-08-02"
"SHC","L","45","66","55","46","2023-08-02"
"SHV","L","45","67","56","44","2023-08-02"
"SIL","L","45","105","81","62","2023-08-02"
"SMC","M","35","34","27","23","2023-08-02"
"SOB","L","38","38","38","33","2023-08-02"
"SOS","H","44","74","56","44","2023-08-02"
"SPP","L","43","56","43","35","2023-08-02"
"SPV","M","35","46","38","31","2023-08-02"
"SQT","L","45","59","51","37","2023-08-02"
"SRH","L","45","69","48","37","2023-08-02"
"SSO","L","35","59","46","36","2023-08-02"
"SSS","L","36","44","36","27","2023-08-02"
"STT","M","35","61","47","39","2023-08-02"
"STV","M","45","63","49","38","2023-08-02"
"SVC","M","35","31","25","19","2023-08-02"
"SVL","L","35","54","34","27","2023-08-02"
"SWR","L","43","61","44","36","2023-08-02"
"SYC","L","35","46","36","28","2023-08-02"
"SYR","L","45","77","53","42","2023-08-02"
"TAV","L","37","42","37","28","2023-08-02"
"TCN","L","35","42","28","20","2023-08-02"
"TDS","L","45","54","46","38","2023-08-02"
"TLG",,"40","54","40","33","2023-08-02"
"TLK","M","35","42","32","26","2023-08-02"
"TNT","M","45","68","49","35","2023-08-02"
"TWO","H","35","30","24","20","2023-08-02"
"UDR","L","35","33","30","22","2023-08-02"
"VCH","M","38","45","37","28","2023-08-02"
"VCM","L","45","60","50","41","2023-08-02"
"VGD","L","45","77","54","41","2023-08-02"
"VHP","H","35","54","42","31","2023-08-02"
"VIC","M","45","55","47","36","2023-08-02"
"VIS",,"35","30","19","17","2023-08-02"
"VJS","M","45","59","47","38","2023-08-02"
"VLC","M","35","37","29","23","2023-08-02"
"VMT","L","45","54","47","34","2023-08-02"
"WAL","H","35","43","35","27","2023-08-02"
"WAR","L","43","52","44","37","2023-08-02"
"WCK","L","45","62","52","41","2023-08-02"
"WCV","M","37","51","38","28","2023-08-02"
"WDC","M","43","62","43","34","2023-08-02"
"WIN","H","35","29","24","16","2023-08-02"
"WPT","M","44","52","44","37","2023-08-02"
"WRB","M","43","51","42","35","2023-08-02"
"WST","M","45","51","45","39","2023-08-02"
"WSY","L","45","75","55","43","2023-08-02"
"WWY","M","45","59","46","37","2023-08-02"
"WYN","M","45","54","46","41","2023-08-02"
"YSA","L","42","54","42","35","2023-08-02"
